"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 15 14:12:52 MSK 2021","Fri Oct 15 14:13:26 MSK 2021","34057","","Тестирование","","Тестирование","Продажа бонусной ставки Фрибет c ограничением (Test Suite Name: saleFreeBetWithLimitation)","Продажа бонусной ставки Фрибет c ограничением (Test Suite Name: saleFreeBetWithLimitation)",""
"passed","Fri Oct 15 14:41:21 MSK 2021","Fri Oct 15 14:42:48 MSK 2021","87076","","Тестирование","","Тестирование","Оформление ставки (Экспресс) по бонусной ставке 'Беспроигрышная ставка' из деталей события (Test Suite Name: expressBetWithWinWinBetInEventDetails)","Оформление ставки (Экспресс) по бонусной ставке 'Беспроигрышная ставка' из деталей события (Test Suite Name: expressBetWithWinWinBetInEventDetails)",""
"passed","Fri Oct 15 14:03:28 MSK 2021","Fri Oct 15 14:04:15 MSK 2021","46955","","Тестирование","","Тестирование","Продажа бонусной ставки Беспроигрышная ставка на учётке с пустым балансом (Test Suite Name: saleWinWinBetOnAccountWithEmptyBalance)","Продажа бонусной ставки Беспроигрышная ставка на учётке с пустым балансом (Test Suite Name: saleWinWinBetOnAccountWithEmptyBalance)",""
"passed","Fri Oct 15 14:42:48 MSK 2021","Fri Oct 15 14:43:35 MSK 2021","47066","","Тестирование","","Тестирование","Удаление последней ставки из купона и проверка этого из деталей события (Test Suite Name: delLastBetFromCouponAndCheckItInEventDetails)","Удаление последней ставки из купона и проверка этого из деталей события (Test Suite Name: delLastBetFromCouponAndCheckItInEventDetails)",""
"passed","Fri Oct 15 14:52:40 MSK 2021","Fri Oct 15 14:53:36 MSK 2021","56027","","Тестирование","","Тестирование","Оформление ставки (Экспресс) по бонусной ставке 'Беспроигрышная ставка' c ограничением из деталей события (Test Suite Name: expressBetWithWinWinBetWithLimitationInEventDetails)","Оформление ставки (Экспресс) по бонусной ставке 'Беспроигрышная ставка' c ограничением из деталей события (Test Suite Name: expressBetWithWinWinBetWithLimitationInEventDetails)",""
"passed","Fri Oct 15 14:49:14 MSK 2021","Fri Oct 15 14:50:01 MSK 2021","47539","","Тестирование","","Тестирование","Оформление ставки с пустым балансом из деталей события (Test Suite Name: standartBetWithEmptyBalanceInEventDetails)","Оформление ставки с пустым балансом из деталей события (Test Suite Name: standartBetWithEmptyBalanceInEventDetails)",""
"passed","Fri Oct 15 14:08:57 MSK 2021","Fri Oct 15 14:10:18 MSK 2021","81608","","Тестирование","","Тестирование","Оформление ставки (Одинар) (Test Suite Name: odinarBet)","Оформление ставки (Одинар) (Test Suite Name: odinarBet)",""
"passed","Fri Oct 15 14:23:32 MSK 2021","Fri Oct 15 14:24:16 MSK 2021","43654","","Тестирование","","Тестирование","Удаление одной из двух ставок из купона для экспресса и проверка этого (Test Suite Name: delOneBetFromCouponWhenExpressBetAndCheckIt)","Удаление одной из двух ставок из купона для экспресса и проверка этого (Test Suite Name: delOneBetFromCouponWhenExpressBetAndCheckIt)",""
"passed","Fri Oct 15 14:54:51 MSK 2021","Fri Oct 15 14:55:47 MSK 2021","56261","","Тестирование","","Тестирование","Навигация в приложении с не авторизированным пользователем (Test Suite Name: navigationInApplicationWithNotAuthorizeUser)","Навигация в приложении с не авторизированным пользователем (Test Suite Name: navigationInApplicationWithNotAuthorizeUser)",""
"passed","Fri Oct 15 14:05:17 MSK 2021","Fri Oct 15 14:06:19 MSK 2021","62208","","Тестирование","","Тестирование","Продажа бонусной ставки - Беспроигрышная ставка (Test Suite Name: saleWinWinBet)","Продажа бонусной ставки - Беспроигрышная ставка (Test Suite Name: saleWinWinBet)",""
"passed","Fri Oct 15 14:53:36 MSK 2021","Fri Oct 15 14:54:51 MSK 2021","74329","","Тестирование","","Тестирование","Навигация в приложении с авторизированным пользователем (Test Suite Name: navigationInApplicationWithAuthorizeUser)","Навигация в приложении с авторизированным пользователем (Test Suite Name: navigationInApplicationWithAuthorizeUser)",""
"passed","Fri Oct 15 14:10:18 MSK 2021","Fri Oct 15 14:11:33 MSK 2021","74407","","Тестирование","","Тестирование","Оформление ставки (Экспресс) (Test Suite Name: expressBet)","Оформление ставки (Экспресс) (Test Suite Name: expressBet)",""
"passed","Fri Oct 15 14:20:45 MSK 2021","Fri Oct 15 14:21:32 MSK 2021","46578","","Тестирование","","Тестирование","Оформление ставки (Экспресс) по бонусной ставке 'Беспроигрышная ставка' c ограничением (Test Suite Name: expressBetWithWinWinBetWithLimitation)","Оформление ставки (Экспресс) по бонусной ставке 'Беспроигрышная ставка' c ограничением (Test Suite Name: expressBetWithWinWinBetWithLimitation)",""
"passed","Fri Oct 15 14:14:00 MSK 2021","Fri Oct 15 14:15:06 MSK 2021","66253","","Тестирование","","Тестирование","Оформление ставки (Одинар) по бонусной ставке 'Фрибэт' (Test Suite Name: odinarBetWithFreeBet)","Оформление ставки (Одинар) по бонусной ставке 'Фрибэт' (Test Suite Name: odinarBetWithFreeBet)",""
"passed","Fri Oct 15 14:04:15 MSK 2021","Fri Oct 15 14:05:17 MSK 2021","61311","","Тестирование","","Тестирование","Продажа бонусной ставки Фрибет (Test Suite Name: saleFreeBet)","Продажа бонусной ставки Фрибет (Test Suite Name: saleFreeBet)",""
"passed","Fri Oct 15 14:26:47 MSK 2021","Fri Oct 15 14:28:03 MSK 2021","75713","","Тестирование","","Тестирование","Оформление ставки (Одинар) в деталях события (Test Suite Name: odinarBetInEventDetails)","Оформление ставки (Одинар) в деталях события (Test Suite Name: odinarBetInEventDetails)",""
"passed","Fri Oct 15 14:01:10 MSK 2021","Fri Oct 15 14:02:29 MSK 2021","79217","","Тестирование","","Тестирование","Продажа пари (Test Suite Name: saleBet)","Продажа пари (Test Suite Name: saleBet)",""
"passed","Fri Oct 15 14:51:51 MSK 2021","Fri Oct 15 14:52:40 MSK 2021","49093","","Тестирование","","Тестирование","Оформление ставки (Одинар) по бонусной ставке 'Беспроигрышная ставка' c ограничением из деталей события (Test Suite Name: odinarBetWithWinWinBetWithLimitationInEventDetails)","Оформление ставки (Одинар) по бонусной ставке 'Беспроигрышная ставка' c ограничением из деталей события (Test Suite Name: odinarBetWithWinWinBetWithLimitationInEventDetails)",""
"passed","Fri Oct 15 14:19:22 MSK 2021","Fri Oct 15 14:20:07 MSK 2021","45425","","Тестирование","","Тестирование","Оформление ставки (Экспресс) по бонусной ставке 'Фрибэт' c ограничением (Test Suite Name: expressBetWithFreeBetWithLimitation)","Оформление ставки (Экспресс) по бонусной ставке 'Фрибэт' c ограничением (Test Suite Name: expressBetWithFreeBetWithLimitation)",""
"passed","Fri Oct 15 14:06:19 MSK 2021","Fri Oct 15 14:06:54 MSK 2021","35447","","Тестирование","","Тестирование","Оформление ставки с пустым балансом (Test Suite Name: standartBetWithEmptyBalance)","Оформление ставки с пустым балансом (Test Suite Name: standartBetWithEmptyBalance)",""
"passed","Fri Oct 15 14:33:58 MSK 2021","Fri Oct 15 14:34:55 MSK 2021","56086","","Тестирование","","Тестирование","Добавление события в избранное и проверка этого добавления (Test Suite Name: addEventInFavoriteAndCheckIt)","Добавление события в избранное и проверка этого добавления (Test Suite Name: addEventInFavoriteAndCheckIt)",""
"passed","Fri Oct 15 14:37:18 MSK 2021","Fri Oct 15 14:38:38 MSK 2021","79377","","Тестирование","","Тестирование","Оформление ставки (Одинар) по бонусной ставке 'Фрибэт' из деталей события (Test Suite Name: odinarBetWithFreeBetInEventDetails)","Оформление ставки (Одинар) по бонусной ставке 'Фрибэт' из деталей события (Test Suite Name: odinarBetWithFreeBetInEventDetails)",""
"passed","Fri Oct 15 14:50:52 MSK 2021","Fri Oct 15 14:51:51 MSK 2021","59270","","Тестирование","","Тестирование","Оформление ставки (Экспресс) по бонусной ставке 'Фрибэт' c ограничением из деталей события (Test Suite Name: expressBetWithFreeBetWithLimitationInEventDetails)","Оформление ставки (Экспресс) по бонусной ставке 'Фрибэт' c ограничением из деталей события (Test Suite Name: expressBetWithFreeBetWithLimitationInEventDetails)",""
"passed","Fri Oct 15 14:01:04 MSK 2021","Fri Oct 15 14:01:10 MSK 2021","5892","","Тестирование","","Тестирование","Установка мобильного приложения для тестирования (Test Suite Name: installMobAppForTest)","Установка мобильного приложения для тестирования (Test Suite Name: installMobAppForTest)",""
"passed","Fri Oct 15 14:29:30 MSK 2021","Fri Oct 15 14:31:03 MSK 2021","92895","","Тестирование","","Тестирование","Оформление ставки (Система) в деталях события (Test Suite Name: systemBetInEventDetails)","Оформление ставки (Система) в деталях события (Test Suite Name: systemBetInEventDetails)",""
"passed","Fri Oct 15 14:25:06 MSK 2021","Fri Oct 15 14:26:47 MSK 2021","100987","","Тестирование","","Тестирование","Удаление одной из трёх ставок из купона для системы, переключение на экспресс, заключение ставки и её продажи (Test Suite Name: delOneBetFromCouponWhenSystemBetSwitchToExpressBetAndSaleExpressBet)","Удаление одной из трёх ставок из купона для системы, переключение на экспресс, заключение ставки и её продажи (Test Suite Name: delOneBetFromCouponWhenSystemBetSwitchToExpressBetAndSaleExpressBet)",""
"passed","Fri Oct 15 14:15:06 MSK 2021","Fri Oct 15 14:16:23 MSK 2021","76922","","Тестирование","","Тестирование","Оформление ставки (Экспресс) по бонусной ставке 'Фрибэт' (Test Suite Name: expressBetWithFreeBet)","Оформление ставки (Экспресс) по бонусной ставке 'Фрибэт' (Test Suite Name: expressBetWithFreeBet)",""
"passed","Fri Oct 15 14:40:06 MSK 2021","Fri Oct 15 14:41:21 MSK 2021","75150","","Тестирование","","Тестирование","Оформление ставки (Одинар) по бонусной ставке 'Беспроигрышная ставка' из деталей события (Test Suite Name: odinarBetWithWinWinBetInEventDetails)","Оформление ставки (Одинар) по бонусной ставке 'Беспроигрышная ставка' из деталей события (Test Suite Name: odinarBetWithWinWinBetInEventDetails)",""
"passed","Fri Oct 15 14:16:23 MSK 2021","Fri Oct 15 14:17:26 MSK 2021","62820","","Тестирование","","Тестирование","Оформление ставки (Одинар) по бонусной ставке 'Беспроигрышная ставка' (Test Suite Name: odinarBetWithWinWinBet)","Оформление ставки (Одинар) по бонусной ставке 'Беспроигрышная ставка' (Test Suite Name: odinarBetWithWinWinBet)",""
"passed","Fri Oct 15 14:36:07 MSK 2021","Fri Oct 15 14:37:18 MSK 2021","71500","","Тестирование","","Тестирование","Продажа бонусной ставки - Беспроигрышная ставка, из деталей события (Test Suite Name: saleWinWinBetInEventDetails)","Продажа бонусной ставки - Беспроигрышная ставка, из деталей события (Test Suite Name: saleWinWinBetInEventDetails)",""
"passed","Fri Oct 15 14:22:20 MSK 2021","Fri Oct 15 14:22:55 MSK 2021","35374","","Тестирование","","Тестирование","Добавление в купон без кнопки ""В купон"" (Test Suite Name: addInCouponWithoutClickInCouponButton)","Добавление в купон без кнопки ""В купон"" (Test Suite Name: addInCouponWithoutClickInCouponButton)",""
"passed","Fri Oct 15 14:47:05 MSK 2021","Fri Oct 15 14:48:16 MSK 2021","70592","","Тестирование","","Тестирование","Продажа бонусной ставки Фрибет на учётке с пустым балансом из деталей события (Test Suite Name: saleFreeBetOnAccountWithEmptyBalanceInEventDetails)","Продажа бонусной ставки Фрибет на учётке с пустым балансом из деталей события (Test Suite Name: saleFreeBetOnAccountWithEmptyBalanceInEventDetails)",""
"passed","Fri Oct 15 14:11:33 MSK 2021","Fri Oct 15 14:12:52 MSK 2021","79414","","Тестирование","","Тестирование","Оформление ставки (Система) (Test Suite Name: systemBet)","Оформление ставки (Система) (Test Suite Name: systemBet)",""
"passed","Fri Oct 15 14:45:28 MSK 2021","Fri Oct 15 14:47:05 MSK 2021","96923","","Тестирование","","Тестирование","Удаление одной из трёх ставок из купона для системы, переключение на экспресс, заключение ставки из деталей события (Test Suite Name: delOneBetFromCouponWhenSystemBetSwitchToExpressBetInEventDetails)","Удаление одной из трёх ставок из купона для системы, переключение на экспресс, заключение ставки из деталей события (Test Suite Name: delOneBetFromCouponWhenSystemBetSwitchToExpressBetInEventDetails)",""
"passed","Fri Oct 15 14:20:07 MSK 2021","Fri Oct 15 14:20:45 MSK 2021","38296","","Тестирование","","Тестирование","Оформление ставки (Одинар) по бонусной ставке 'Беспроигрышная ставка' c ограничением (Test Suite Name: odinarBetWithWinWinBetWithLimitation)","Оформление ставки (Одинар) по бонусной ставке 'Беспроигрышная ставка' c ограничением (Test Suite Name: odinarBetWithWinWinBetWithLimitation)",""
"passed","Fri Oct 15 14:28:03 MSK 2021","Fri Oct 15 14:29:30 MSK 2021","86888","","Тестирование","","Тестирование","Оформление ставки (Экспресс) в деталях события (Test Suite Name: expressBetInEventDetails)","Оформление ставки (Экспресс) в деталях события (Test Suite Name: expressBetInEventDetails)",""
"passed","Fri Oct 15 14:18:43 MSK 2021","Fri Oct 15 14:19:22 MSK 2021","39082","","Тестирование","","Тестирование","Оформление ставки (Одинар) по бонусной ставке 'Фрибэт' c ограничением (Test Suite Name: odinarBetWithFreeBetWithLimitation)","Оформление ставки (Одинар) по бонусной ставке 'Фрибэт' c ограничением (Test Suite Name: odinarBetWithFreeBetWithLimitation)",""
"passed","Fri Oct 15 14:02:29 MSK 2021","Fri Oct 15 14:03:28 MSK 2021","59441","","Тестирование","","Тестирование","Продажа бонусной ставки Фрибет на учётке с пустым балансом (Test Suite Name: saleFreeBetOnAccountWithEmptyBalance)","Продажа бонусной ставки Фрибет на учётке с пустым балансом (Test Suite Name: saleFreeBetOnAccountWithEmptyBalance)",""
"passed","Fri Oct 15 14:13:26 MSK 2021","Fri Oct 15 14:14:00 MSK 2021","33764","","Тестирование","","Тестирование","Продажа бонусной ставки - Беспроигрышная ставка - c ограничением (Test Suite Name: saleWinWinBetWithLimitation)","Продажа бонусной ставки - Беспроигрышная ставка - c ограничением (Test Suite Name: saleWinWinBetWithLimitation)",""
"passed","Fri Oct 15 14:24:16 MSK 2021","Fri Oct 15 14:25:06 MSK 2021","50322","","Тестирование","","Тестирование","Удаление одной из трёх ставок из купона для системы и проверка этого (Test Suite Name: delOneBetFromCouponWhenSystemBetAndCheckIt)","Удаление одной из трёх ставок из купона для системы и проверка этого (Test Suite Name: delOneBetFromCouponWhenSystemBetAndCheckIt)",""
"passed","Fri Oct 15 14:07:57 MSK 2021","Fri Oct 15 14:08:57 MSK 2021","59301","","Тестирование","","Тестирование","Заключение пари по быстрой ставке в разделе «Линия», просмотр этой ставки и её продажи в истории (Test Suite Name: saleBetViaFastBet)","Заключение пари по быстрой ставке в разделе «Линия», просмотр этой ставки и её продажи в истории (Test Suite Name: saleBetViaFastBet)",""
"passed","Fri Oct 15 14:22:55 MSK 2021","Fri Oct 15 14:23:32 MSK 2021","36872","","Тестирование","","Тестирование","Удаление последней ставки из купона и проверка этого (Test Suite Name: delLastBetFromCouponAndCheckIt)","Удаление последней ставки из купона и проверка этого (Test Suite Name: delLastBetFromCouponAndCheckIt)",""
"passed","Fri Oct 15 14:31:03 MSK 2021","Fri Oct 15 14:32:52 MSK 2021","109139","","Тестирование","","Тестирование","Продажа пари в деталях события (Test Suite Name: saleBetInEventDetails)","Продажа пари в деталях события (Test Suite Name: saleBetInEventDetails)",""
"passed","Fri Oct 15 14:48:16 MSK 2021","Fri Oct 15 14:49:14 MSK 2021","57984","","Тестирование","","Тестирование","Продажа бонусной ставки Беспроигрышная ставка на учётке с пустым балансом из деталей события (Test Suite Name: saleWinWinBetOnAccountWithEmptyBalanceInEventDetails)","Продажа бонусной ставки Беспроигрышная ставка на учётке с пустым балансом из деталей события (Test Suite Name: saleWinWinBetOnAccountWithEmptyBalanceInEventDetails)",""
"passed","Fri Oct 15 14:21:32 MSK 2021","Fri Oct 15 14:22:20 MSK 2021","47848","","Тестирование","","Тестирование","Сравнение минимальной суммы и максимальной суммы из поля ввода и кнопки (Test Suite Name: сompareMinSumAndMaxSumFromEditAndButton)","Сравнение минимальной суммы и максимальной суммы из поля ввода и кнопки (Test Suite Name: сompareMinSumAndMaxSumFromEditAndButton)",""
"passed","Fri Oct 15 14:06:54 MSK 2021","Fri Oct 15 14:07:57 MSK 2021","63105","","Тестирование","","Тестирование","Сохранение суммы ставки после заключения пари (Test Suite Name: saveSumBetAfterStandartBet)","Сохранение суммы ставки после заключения пари (Test Suite Name: saveSumBetAfterStandartBet)",""
"passed","Fri Oct 15 14:38:38 MSK 2021","Fri Oct 15 14:40:06 MSK 2021","88206","","Тестирование","","Тестирование","Оформление ставки (Экспресс) по бонусной ставке 'Фрибэт' из деталей события (Test Suite Name: expressBetWithFreeBetInEventDetails)","Оформление ставки (Экспресс) по бонусной ставке 'Фрибэт' из деталей события (Test Suite Name: expressBetWithFreeBetInEventDetails)",""
"passed","Fri Oct 15 14:43:35 MSK 2021","Fri Oct 15 14:44:31 MSK 2021","55784","","Тестирование","","Тестирование","Удаление одной из двух ставок из купона для экспресса и проверка этого из деталей события (Test Suite Name: delOneBetFromCouponWhenExpressBetAndCheckItInEventDetails)","Удаление одной из двух ставок из купона для экспресса и проверка этого из деталей события (Test Suite Name: delOneBetFromCouponWhenExpressBetAndCheckItInEventDetails)",""
"passed","Fri Oct 15 14:44:31 MSK 2021","Fri Oct 15 14:45:28 MSK 2021","57409","","Тестирование","","Тестирование","Удаление одной из трёх ставок из купона для системы и проверка этого из деталей события (Test Suite Name: delOneBetFromCouponWhenSystemBetAndCheckItInEventDetails)","Удаление одной из трёх ставок из купона для системы и проверка этого из деталей события (Test Suite Name: delOneBetFromCouponWhenSystemBetAndCheckItInEventDetails)",""
"passed","Fri Oct 15 14:50:01 MSK 2021","Fri Oct 15 14:50:52 MSK 2021","50414","","Тестирование","","Тестирование","Оформление ставки (Одинар) по бонусной ставке 'Фрибэт' c ограничением из деталей события (Test Suite Name: odinarBetWithFreeBetWithLimitationInEventDetails)","Оформление ставки (Одинар) по бонусной ставке 'Фрибэт' c ограничением из деталей события (Test Suite Name: odinarBetWithFreeBetWithLimitationInEventDetails)",""
"passed","Fri Oct 15 14:32:52 MSK 2021","Fri Oct 15 14:33:58 MSK 2021","66824","","Тестирование","","Тестирование","Заключение пари по быстрой ставке в деталях события, просмотр этой ставки в истории (Test Suite Name: saleBetViaFastBetInEventDetails)","Заключение пари по быстрой ставке в деталях события, просмотр этой ставки в истории (Test Suite Name: saleBetViaFastBetInEventDetails)",""
"passed","Fri Oct 15 14:17:26 MSK 2021","Fri Oct 15 14:18:43 MSK 2021","76587","","Тестирование","","Тестирование","Оформление ставки (Экспресс) по бонусной ставке 'Беспроигрышная ставка' (Test Suite Name: expressBetWithWinWinBet)","Оформление ставки (Экспресс) по бонусной ставке 'Беспроигрышная ставка' (Test Suite Name: expressBetWithWinWinBet)",""
"passed","Fri Oct 15 14:34:55 MSK 2021","Fri Oct 15 14:36:07 MSK 2021","72289","","Тестирование","","Тестирование","Продажа бонусной ставки Фрибет из деталей события (Test Suite Name: saleFreeBetInEventDetails)","Продажа бонусной ставки Фрибет из деталей события (Test Suite Name: saleFreeBetInEventDetails)",""
